[progress][seq] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=13914.135
[progress][seq] epoca=2 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=13664.972
[progress][seq] epoca=3 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=13136.207
[progress][seq] epoca=4 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=12327.180
[progress][seq] epoca=5 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=11458.245
[progress][seq] epoca=6 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.9s | tempo_rimanente=299.1s | best_cost=10117.701
[progress][seq] epoca=7 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.0s | tempo_rimanente=299.0s | best_cost=9937.449
[progress][seq] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.3s | tempo_rimanente=298.7s | best_cost=9724.466
[progress][seq] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=9697.267
[progress][seq] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=9592.088
[progress][seq] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.7s | tempo_rimanente=298.3s | best_cost=9475.454
[progress][seq] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=2.0s | tempo_rimanente=298.0s | best_cost=9243.738
[progress][seq] epoca=20 | epoche_rimanenti_prima_stop=494 | tempo_trascorso=2.9s | tempo_rimanente=297.1s | best_cost=9243.738
[progress][seq] epoca=30 | epoche_rimanenti_prima_stop=484 | tempo_trascorso=4.4s | tempo_rimanente=295.6s | best_cost=9243.738
[progress][seq] epoca=40 | epoche_rimanenti_prima_stop=474 | tempo_trascorso=5.8s | tempo_rimanente=294.2s | best_cost=9243.738
[progress][seq] epoca=50 | epoche_rimanenti_prima_stop=464 | tempo_trascorso=7.3s | tempo_rimanente=292.7s | best_cost=9243.738
[progress][seq] epoca=58 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=8.5s | tempo_rimanente=291.5s | best_cost=9231.304
[progress][seq] epoca=60 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=8.8s | tempo_rimanente=291.2s | best_cost=9231.304
[progress][seq] epoca=70 | epoche_rimanenti_prima_stop=488 | tempo_trascorso=10.2s | tempo_rimanente=289.8s | best_cost=9231.304
[progress][seq] epoca=80 | epoche_rimanenti_prima_stop=478 | tempo_trascorso=11.7s | tempo_rimanente=288.3s | best_cost=9231.304
[progress][seq] epoca=90 | epoche_rimanenti_prima_stop=468 | tempo_trascorso=13.2s | tempo_rimanente=286.8s | best_cost=9231.304
[progress][seq] epoca=100 | epoche_rimanenti_prima_stop=458 | tempo_trascorso=14.6s | tempo_rimanente=285.4s | best_cost=9231.304
[progress][seq] epoca=110 | epoche_rimanenti_prima_stop=448 | tempo_trascorso=16.1s | tempo_rimanente=283.9s | best_cost=9231.304
[progress][seq] epoca=120 | epoche_rimanenti_prima_stop=438 | tempo_trascorso=17.6s | tempo_rimanente=282.4s | best_cost=9231.304
[progress][seq] epoca=130 | epoche_rimanenti_prima_stop=428 | tempo_trascorso=19.0s | tempo_rimanente=281.0s | best_cost=9231.304
[progress][seq] epoca=140 | epoche_rimanenti_prima_stop=418 | tempo_trascorso=20.5s | tempo_rimanente=279.5s | best_cost=9231.304
[progress][seq] epoca=150 | epoche_rimanenti_prima_stop=408 | tempo_trascorso=22.0s | tempo_rimanente=278.0s | best_cost=9231.304
[progress][seq] epoca=160 | epoche_rimanenti_prima_stop=398 | tempo_trascorso=23.5s | tempo_rimanente=276.5s | best_cost=9231.304
[progress][seq] epoca=170 | epoche_rimanenti_prima_stop=388 | tempo_trascorso=24.9s | tempo_rimanente=275.1s | best_cost=9231.304
[progress][seq] epoca=180 | epoche_rimanenti_prima_stop=378 | tempo_trascorso=26.4s | tempo_rimanente=273.6s | best_cost=9231.304
[progress][seq] epoca=190 | epoche_rimanenti_prima_stop=368 | tempo_trascorso=27.9s | tempo_rimanente=272.1s | best_cost=9231.304
[progress][seq] epoca=200 | epoche_rimanenti_prima_stop=358 | tempo_trascorso=29.3s | tempo_rimanente=270.7s | best_cost=9231.304
[progress][seq] epoca=210 | epoche_rimanenti_prima_stop=348 | tempo_trascorso=30.8s | tempo_rimanente=269.2s | best_cost=9231.304
[progress][seq] epoca=220 | epoche_rimanenti_prima_stop=338 | tempo_trascorso=32.2s | tempo_rimanente=267.8s | best_cost=9231.304
[progress][seq] epoca=230 | epoche_rimanenti_prima_stop=328 | tempo_trascorso=33.7s | tempo_rimanente=266.3s | best_cost=9231.304
[progress][seq] epoca=240 | epoche_rimanenti_prima_stop=318 | tempo_trascorso=35.2s | tempo_rimanente=264.8s | best_cost=9231.304
[progress][seq] epoca=250 | epoche_rimanenti_prima_stop=308 | tempo_trascorso=36.7s | tempo_rimanente=263.3s | best_cost=9231.304
[progress][seq] epoca=260 | epoche_rimanenti_prima_stop=298 | tempo_trascorso=38.2s | tempo_rimanente=261.8s | best_cost=9231.304
[progress][seq] epoca=270 | epoche_rimanenti_prima_stop=288 | tempo_trascorso=39.6s | tempo_rimanente=260.4s | best_cost=9231.304
