[progress][seq] epoca=380 | epoche_rimanenti_prima_stop=142 | tempo_trascorso=54.9s | tempo_rimanente=245.1s | best_cost=9100.316
[progress][seq] epoca=390 | epoche_rimanenti_prima_stop=132 | tempo_trascorso=56.3s | tempo_rimanente=243.7s | best_cost=9100.316
[progress][seq] epoca=400 | epoche_rimanenti_prima_stop=122 | tempo_trascorso=57.8s | tempo_rimanente=242.2s | best_cost=9100.316
[progress][seq] epoca=410 | epoche_rimanenti_prima_stop=112 | tempo_trascorso=59.2s | tempo_rimanente=240.8s | best_cost=9100.316
[progress][seq] epoca=420 | epoche_rimanenti_prima_stop=102 | tempo_trascorso=60.7s | tempo_rimanente=239.3s | best_cost=9100.316
[progress][seq] epoca=424 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=61.2s | tempo_rimanente=238.8s | best_cost=8964.972
[progress][seq] epoca=430 | epoche_rimanenti_prima_stop=494 | tempo_trascorso=62.1s | tempo_rimanente=237.9s | best_cost=8964.972
[progress][seq] epoca=440 | epoche_rimanenti_prima_stop=484 | tempo_trascorso=63.5s | tempo_rimanente=236.5s | best_cost=8964.972
[progress][seq] epoca=450 | epoche_rimanenti_prima_stop=474 | tempo_trascorso=65.0s | tempo_rimanente=235.0s | best_cost=8964.972
[progress][seq] epoca=460 | epoche_rimanenti_prima_stop=464 | tempo_trascorso=66.4s | tempo_rimanente=233.6s | best_cost=8964.972
[progress][seq] epoca=470 | epoche_rimanenti_prima_stop=454 | tempo_trascorso=67.9s | tempo_rimanente=232.1s | best_cost=8964.972
[progress][seq] epoca=480 | epoche_rimanenti_prima_stop=444 | tempo_trascorso=69.3s | tempo_rimanente=230.7s | best_cost=8964.972
[progress][seq] epoca=490 | epoche_rimanenti_prima_stop=434 | tempo_trascorso=70.8s | tempo_rimanente=229.2s | best_cost=8964.972
[progress][seq] epoca=500 | epoche_rimanenti_prima_stop=424 | tempo_trascorso=72.2s | tempo_rimanente=227.8s | best_cost=8964.972
[progress][seq] epoca=510 | epoche_rimanenti_prima_stop=414 | tempo_trascorso=73.7s | tempo_rimanente=226.3s | best_cost=8964.972
[progress][seq] epoca=520 | epoche_rimanenti_prima_stop=404 | tempo_trascorso=75.1s | tempo_rimanente=224.9s | best_cost=8964.972
[progress][seq] epoca=530 | epoche_rimanenti_prima_stop=394 | tempo_trascorso=76.6s | tempo_rimanente=223.4s | best_cost=8964.972
[progress][seq] epoca=540 | epoche_rimanenti_prima_stop=384 | tempo_trascorso=78.0s | tempo_rimanente=222.0s | best_cost=8964.972
[progress][seq] epoca=550 | epoche_rimanenti_prima_stop=374 | tempo_trascorso=79.4s | tempo_rimanente=220.6s | best_cost=8964.972
[progress][seq] epoca=560 | epoche_rimanenti_prima_stop=364 | tempo_trascorso=80.9s | tempo_rimanente=219.1s | best_cost=8964.972
[progress][seq] epoca=570 | epoche_rimanenti_prima_stop=354 | tempo_trascorso=82.3s | tempo_rimanente=217.7s | best_cost=8964.972
[progress][seq] epoca=580 | epoche_rimanenti_prima_stop=344 | tempo_trascorso=83.8s | tempo_rimanente=216.2s | best_cost=8964.972
