CUDA Solver starting... (N=2000, K=8, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=7321.730
[progress][cuda] epoca=5 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=7309.310
[progress][cuda] epoca=6 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=7291.085
[progress][cuda] epoca=7 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=7007.561
[progress][cuda] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=6879.105
[progress][cuda] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=6638.603
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=6373.249
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=6119.502
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=5931.392
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=5860.330
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=5762.711
[progress][cuda] epoca=17 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=5649.742
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=497 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=5649.742
[progress][cuda] epoca=26 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=5569.786
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=496 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=5569.786
[progress][cuda] epoca=39 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=5450.355
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=5450.355
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=489 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=5450.355
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=479 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=5450.355
[progress][cuda] epoca=65 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=5386.932
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=495 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=5386.932
[progress][cuda] epoca=80 | epoche_rimanenti_prima_stop=485 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=5386.932
[progress][cuda] epoca=90 | epoche_rimanenti_prima_stop=475 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=5386.932
[progress][cuda] epoca=100 | epoche_rimanenti_prima_stop=465 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=5386.932
[progress][cuda] epoca=110 | epoche_rimanenti_prima_stop=455 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=5386.932
[progress][cuda] epoca=120 | epoche_rimanenti_prima_stop=445 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=5386.932
[progress][cuda] epoca=130 | epoche_rimanenti_prima_stop=435 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=5386.932
[progress][cuda] epoca=140 | epoche_rimanenti_prima_stop=425 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=5386.932
[progress][cuda] epoca=150 | epoche_rimanenti_prima_stop=415 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=5386.932
[progress][cuda] epoca=152 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=5363.432
[progress][cuda] epoca=160 | epoche_rimanenti_prima_stop=492 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=5363.432
[progress][cuda] epoca=170 | epoche_rimanenti_prima_stop=482 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=5363.432
[progress][cuda] epoca=180 | epoche_rimanenti_prima_stop=472 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=5363.432
[progress][cuda] epoca=190 | epoche_rimanenti_prima_stop=462 | tempo_trascorso=0.9s | tempo_rimanente=299.1s | best_cost=5363.432
[progress][cuda] epoca=199 | epoche_rimanenti_prima_stop=453 | tempo_trascorso=0.9s | tempo_rimanente=299.1s | best_cost=5361.047
[progress][cuda] epoca=200 | epoche_rimanenti_prima_stop=452 | tempo_trascorso=0.9s | tempo_rimanente=299.1s | best_cost=5361.047
[progress][cuda] epoca=210 | epoche_rimanenti_prima_stop=442 | tempo_trascorso=1.0s | tempo_rimanente=299.0s | best_cost=5361.047
[progress][cuda] epoca=220 | epoche_rimanenti_prima_stop=432 | tempo_trascorso=1.0s | tempo_rimanente=299.0s | best_cost=5361.047
[progress][cuda] epoca=230 | epoche_rimanenti_prima_stop=422 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=5361.047
[progress][cuda] epoca=231 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=5335.037
[progress][cuda] epoca=240 | epoche_rimanenti_prima_stop=491 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=5335.037
[progress][cuda] epoca=243 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=5328.149
[progress][cuda] epoca=250 | epoche_rimanenti_prima_stop=493 | tempo_trascorso=1.2s | tempo_rimanente=298.8s | best_cost=5328.149
[progress][cuda] epoca=260 | epoche_rimanenti_prima_stop=483 | tempo_trascorso=1.2s | tempo_rimanente=298.8s | best_cost=5328.149
[progress][cuda] epoca=270 | epoche_rimanenti_prima_stop=473 | tempo_trascorso=1.2s | tempo_rimanente=298.8s | best_cost=5328.149
[progress][cuda] epoca=280 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.3s | tempo_rimanente=298.7s | best_cost=5320.442
[progress][cuda] epoca=290 | epoche_rimanenti_prima_stop=490 | tempo_trascorso=1.3s | tempo_rimanente=298.7s | best_cost=5320.442
[progress][cuda] epoca=300 | epoche_rimanenti_prima_stop=480 | tempo_trascorso=1.4s | tempo_rimanente=298.6s | best_cost=5320.442
[progress][cuda] epoca=310 | epoche_rimanenti_prima_stop=470 | tempo_trascorso=1.4s | tempo_rimanente=298.6s | best_cost=5320.442
[progress][cuda] epoca=320 | epoche_rimanenti_prima_stop=460 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=5320.442
[progress][cuda] epoca=330 | epoche_rimanenti_prima_stop=450 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=5320.442
[progress][cuda] epoca=332 | epoche_rimanenti_prima_stop=448 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=5319.824
[progress][cuda] epoca=340 | epoche_rimanenti_prima_stop=440 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=5319.824
[progress][cuda] epoca=347 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=5294.980
[progress][cuda] epoca=350 | epoche_rimanenti_prima_stop=497 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=5294.980
[progress][cuda] epoca=358 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=5265.716
[progress][cuda] epoca=360 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=5265.716
[progress][cuda] epoca=370 | epoche_rimanenti_prima_stop=488 | tempo_trascorso=1.7s | tempo_rimanente=298.3s | best_cost=5265.716
[progress][cuda] epoca=380 | epoche_rimanenti_prima_stop=478 | tempo_trascorso=1.7s | tempo_rimanente=298.3s | best_cost=5265.716
[progress][cuda] epoca=390 | epoche_rimanenti_prima_stop=468 | tempo_trascorso=1.8s | tempo_rimanente=298.2s | best_cost=5265.716
[progress][cuda] epoca=400 | epoche_rimanenti_prima_stop=458 | tempo_trascorso=1.8s | tempo_rimanente=298.2s | best_cost=5265.716
[progress][cuda] epoca=410 | epoche_rimanenti_prima_stop=448 | tempo_trascorso=1.9s | tempo_rimanente=298.1s | best_cost=5265.716
[progress][cuda] epoca=420 | epoche_rimanenti_prima_stop=438 | tempo_trascorso=1.9s | tempo_rimanente=298.1s | best_cost=5265.716
[progress][cuda] epoca=430 | epoche_rimanenti_prima_stop=428 | tempo_trascorso=2.0s | tempo_rimanente=298.0s | best_cost=5265.716
[progress][cuda] epoca=440 | epoche_rimanenti_prima_stop=418 | tempo_trascorso=2.0s | tempo_rimanente=298.0s | best_cost=5265.716
[progress][cuda] epoca=450 | epoche_rimanenti_prima_stop=408 | tempo_trascorso=2.0s | tempo_rimanente=298.0s | best_cost=5265.716
[progress][cuda] epoca=460 | epoche_rimanenti_prima_stop=398 | tempo_trascorso=2.1s | tempo_rimanente=297.9s | best_cost=5265.716
[progress][cuda] epoca=470 | epoche_rimanenti_prima_stop=388 | tempo_trascorso=2.1s | tempo_rimanente=297.9s | best_cost=5265.716
[progress][cuda] epoca=480 | epoche_rimanenti_prima_stop=378 | tempo_trascorso=2.2s | tempo_rimanente=297.8s | best_cost=5265.716
[progress][cuda] epoca=490 | epoche_rimanenti_prima_stop=368 | tempo_trascorso=2.2s | tempo_rimanente=297.8s | best_cost=5265.716
[progress][cuda] epoca=500 | epoche_rimanenti_prima_stop=358 | tempo_trascorso=2.3s | tempo_rimanente=297.7s | best_cost=5265.716
[progress][cuda] epoca=510 | epoche_rimanenti_prima_stop=348 | tempo_trascorso=2.3s | tempo_rimanente=297.7s | best_cost=5265.716
[progress][cuda] epoca=520 | epoche_rimanenti_prima_stop=338 | tempo_trascorso=2.3s | tempo_rimanente=297.7s | best_cost=5265.716
[progress][cuda] epoca=530 | epoche_rimanenti_prima_stop=328 | tempo_trascorso=2.4s | tempo_rimanente=297.6s | best_cost=5265.716
[progress][cuda] epoca=540 | epoche_rimanenti_prima_stop=318 | tempo_trascorso=2.4s | tempo_rimanente=297.6s | best_cost=5265.716
[progress][cuda] epoca=550 | epoche_rimanenti_prima_stop=308 | tempo_trascorso=2.5s | tempo_rimanente=297.5s | best_cost=5265.716
[progress][cuda] epoca=560 | epoche_rimanenti_prima_stop=298 | tempo_trascorso=2.5s | tempo_rimanente=297.5s | best_cost=5265.716
[progress][cuda] epoca=570 | epoche_rimanenti_prima_stop=288 | tempo_trascorso=2.6s | tempo_rimanente=297.4s | best_cost=5265.716
[progress][cuda] epoca=580 | epoche_rimanenti_prima_stop=278 | tempo_trascorso=2.6s | tempo_rimanente=297.4s | best_cost=5265.716
[progress][cuda] epoca=590 | epoche_rimanenti_prima_stop=268 | tempo_trascorso=2.6s | tempo_rimanente=297.4s | best_cost=5265.716
[progress][cuda] epoca=600 | epoche_rimanenti_prima_stop=258 | tempo_trascorso=2.7s | tempo_rimanente=297.3s | best_cost=5265.716
[progress][cuda] epoca=610 | epoche_rimanenti_prima_stop=248 | tempo_trascorso=2.7s | tempo_rimanente=297.3s | best_cost=5265.716
[progress][cuda] epoca=620 | epoche_rimanenti_prima_stop=238 | tempo_trascorso=2.8s | tempo_rimanente=297.2s | best_cost=5265.716
[progress][cuda] epoca=630 | epoche_rimanenti_prima_stop=228 | tempo_trascorso=2.8s | tempo_rimanente=297.2s | best_cost=5265.716
[progress][cuda] epoca=640 | epoche_rimanenti_prima_stop=218 | tempo_trascorso=2.9s | tempo_rimanente=297.1s | best_cost=5265.716
[progress][cuda] epoca=650 | epoche_rimanenti_prima_stop=208 | tempo_trascorso=2.9s | tempo_rimanente=297.1s | best_cost=5265.716
[progress][cuda] epoca=660 | epoche_rimanenti_prima_stop=198 | tempo_trascorso=2.9s | tempo_rimanente=297.1s | best_cost=5265.716
[progress][cuda] epoca=670 | epoche_rimanenti_prima_stop=188 | tempo_trascorso=3.0s | tempo_rimanente=297.0s | best_cost=5265.716
[progress][cuda] epoca=680 | epoche_rimanenti_prima_stop=178 | tempo_trascorso=3.0s | tempo_rimanente=297.0s | best_cost=5265.716
[progress][cuda] epoca=690 | epoche_rimanenti_prima_stop=168 | tempo_trascorso=3.1s | tempo_rimanente=296.9s | best_cost=5265.716
[progress][cuda] epoca=700 | epoche_rimanenti_prima_stop=158 | tempo_trascorso=3.1s | tempo_rimanente=296.9s | best_cost=5265.716
[progress][cuda] epoca=710 | epoche_rimanenti_prima_stop=148 | tempo_trascorso=3.2s | tempo_rimanente=296.8s | best_cost=5265.716
[progress][cuda] epoca=720 | epoche_rimanenti_prima_stop=138 | tempo_trascorso=3.2s | tempo_rimanente=296.8s | best_cost=5265.716
[progress][cuda] epoca=730 | epoche_rimanenti_prima_stop=128 | tempo_trascorso=3.2s | tempo_rimanente=296.8s | best_cost=5265.716
[progress][cuda] epoca=740 | epoche_rimanenti_prima_stop=118 | tempo_trascorso=3.3s | tempo_rimanente=296.7s | best_cost=5265.716
[progress][cuda] epoca=750 | epoche_rimanenti_prima_stop=108 | tempo_trascorso=3.3s | tempo_rimanente=296.7s | best_cost=5265.716
[progress][cuda] epoca=760 | epoche_rimanenti_prima_stop=98 | tempo_trascorso=3.4s | tempo_rimanente=296.6s | best_cost=5265.716
