name,profile,instance_path,n,K,m,solver_seed,instance_seed,layout_id,run_id,status,elapsed_s,max_rss_gb,best_cost,error,mpi_ranks,omp_threads,batch_id
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,16,1234,19006,grid100,1,ok,76.35,0.008301,14536.118,,1,16,strong_openmp_m16_e100_t16
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,16,1235,19006,grid100,2,ok,62.33,0.008301,14579.493,,1,16,strong_openmp_m16_e100_t16
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,16,1236,19006,grid100,3,ok,77.13,0.008301,14588.845,,1,16,strong_openmp_m16_e100_t16
