name,profile,instance_path,n,K,m,solver_seed,instance_seed,layout_id,run_id,status,elapsed_s,max_rss_gb,best_cost,error,mpi_ranks,omp_threads,batch_id
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,16,1234,19006,grid100,1,ok,132.37,0.007812,14536.118,,1,2,strong_openmp_m16_e100_t2
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,16,1235,19006,grid100,2,ok,134.27,0.008301,14579.493,,1,2,strong_openmp_m16_e100_t2
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,16,1236,19006,grid100,3,ok,131.56,0.008301,14588.845,,1,2,strong_openmp_m16_e100_t2
