CUDA Solver starting... (N=16000, K=16, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=19970.812
[progress][cuda] epoca=3 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=19664.426
[progress][cuda] epoca=4 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=19601.500
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=494 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=19601.500
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.2s | tempo_rimanente=298.8s | best_cost=19298.629
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.4s | tempo_rimanente=298.6s | best_cost=18916.646
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=18852.857
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.7s | tempo_rimanente=298.3s | best_cost=18612.426
[progress][cuda] epoca=15 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.8s | tempo_rimanente=298.2s | best_cost=18568.568
[progress][cuda] epoca=16 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.9s | tempo_rimanente=298.1s | best_cost=18411.303
[progress][cuda] epoca=17 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=2.1s | tempo_rimanente=297.9s | best_cost=18249.064
[progress][cuda] epoca=18 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=2.2s | tempo_rimanente=297.8s | best_cost=18081.428
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=2.3s | tempo_rimanente=297.7s | best_cost=18081.428
[progress][cuda] epoca=22 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=2.5s | tempo_rimanente=297.5s | best_cost=18054.936
[progress][cuda] epoca=26 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=3.0s | tempo_rimanente=297.0s | best_cost=17933.074
[progress][cuda] epoca=27 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=3.1s | tempo_rimanente=296.9s | best_cost=17871.910
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=497 | tempo_trascorso=3.3s | tempo_rimanente=296.7s | best_cost=17871.910
[progress][cuda] epoca=34 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=3.7s | tempo_rimanente=296.3s | best_cost=17831.215
[progress][cuda] epoca=37 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=4.0s | tempo_rimanente=296.0s | best_cost=17784.211
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=497 | tempo_trascorso=4.2s | tempo_rimanente=295.8s | best_cost=17784.211
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=487 | tempo_trascorso=4.9s | tempo_rimanente=295.1s | best_cost=17784.211
[progress][cuda] epoca=55 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=5.4s | tempo_rimanente=294.6s | best_cost=17671.082
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=495 | tempo_trascorso=5.8s | tempo_rimanente=294.2s | best_cost=17671.082
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=485 | tempo_trascorso=6.5s | tempo_rimanente=293.5s | best_cost=17671.082
