CUDA Solver starting... (N=16000, K=16, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=19899.580
[progress][cuda] epoca=2 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=19672.697
[progress][cuda] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.0s | tempo_rimanente=299.0s | best_cost=19513.959
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.2s | tempo_rimanente=298.8s | best_cost=19468.170
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.3s | tempo_rimanente=298.7s | best_cost=19067.844
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=18949.330
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=18885.092
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.7s | tempo_rimanente=298.3s | best_cost=18250.107
[progress][cuda] epoca=18 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=2.1s | tempo_rimanente=297.9s | best_cost=17783.281
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=2.2s | tempo_rimanente=297.8s | best_cost=17783.281
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=488 | tempo_trascorso=2.9s | tempo_rimanente=297.1s | best_cost=17783.281
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=478 | tempo_trascorso=3.7s | tempo_rimanente=296.3s | best_cost=17783.281
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=468 | tempo_trascorso=4.4s | tempo_rimanente=295.6s | best_cost=17783.281
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=458 | tempo_trascorso=5.1s | tempo_rimanente=294.9s | best_cost=17783.281
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=448 | tempo_trascorso=5.9s | tempo_rimanente=294.1s | best_cost=17783.281
[progress][cuda] epoca=72 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=6.1s | tempo_rimanente=293.9s | best_cost=17751.076
[progress][cuda] epoca=80 | epoche_rimanenti_prima_stop=492 | tempo_trascorso=6.7s | tempo_rimanente=293.3s | best_cost=17751.076
[progress][cuda] epoca=90 | epoche_rimanenti_prima_stop=482 | tempo_trascorso=7.5s | tempo_rimanente=292.5s | best_cost=17751.076
[progress][cuda] epoca=100 | epoche_rimanenti_prima_stop=472 | tempo_trascorso=8.2s | tempo_rimanente=291.8s | best_cost=17751.076
[progress][cuda] epoca=110 | epoche_rimanenti_prima_stop=462 | tempo_trascorso=8.9s | tempo_rimanente=291.1s | best_cost=17751.076
[progress][cuda] epoca=120 | epoche_rimanenti_prima_stop=452 | tempo_trascorso=9.6s | tempo_rimanente=290.4s | best_cost=17751.076
[progress][cuda] epoca=130 | epoche_rimanenti_prima_stop=442 | tempo_trascorso=10.4s | tempo_rimanente=289.6s | best_cost=17751.076
[progress][cuda] epoca=140 | epoche_rimanenti_prima_stop=432 | tempo_trascorso=11.1s | tempo_rimanente=288.9s | best_cost=17751.076
[progress][cuda] epoca=150 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=12.0s | tempo_rimanente=288.0s | best_cost=17571.488
[progress][cuda] epoca=160 | epoche_rimanenti_prima_stop=490 | tempo_trascorso=12.7s | tempo_rimanente=287.3s | best_cost=17571.488
[progress][cuda] epoca=170 | epoche_rimanenti_prima_stop=480 | tempo_trascorso=13.4s | tempo_rimanente=286.6s | best_cost=17571.488
[progress][cuda] epoca=180 | epoche_rimanenti_prima_stop=470 | tempo_trascorso=14.2s | tempo_rimanente=285.8s | best_cost=17571.488
[progress][cuda] epoca=190 | epoche_rimanenti_prima_stop=460 | tempo_trascorso=14.9s | tempo_rimanente=285.1s | best_cost=17571.488
[progress][cuda] epoca=200 | epoche_rimanenti_prima_stop=450 | tempo_trascorso=15.6s | tempo_rimanente=284.4s | best_cost=17571.488
[progress][cuda] epoca=210 | epoche_rimanenti_prima_stop=440 | tempo_trascorso=16.4s | tempo_rimanente=283.6s | best_cost=17571.488
[progress][cuda] epoca=220 | epoche_rimanenti_prima_stop=430 | tempo_trascorso=17.1s | tempo_rimanente=282.9s | best_cost=17571.488
[progress][cuda] epoca=230 | epoche_rimanenti_prima_stop=420 | tempo_trascorso=17.8s | tempo_rimanente=282.2s | best_cost=17571.488
[progress][cuda] epoca=240 | epoche_rimanenti_prima_stop=410 | tempo_trascorso=18.5s | tempo_rimanente=281.5s | best_cost=17571.488
[progress][cuda] epoca=250 | epoche_rimanenti_prima_stop=400 | tempo_trascorso=19.3s | tempo_rimanente=280.7s | best_cost=17571.488
[progress][cuda] epoca=260 | epoche_rimanenti_prima_stop=390 | tempo_trascorso=20.0s | tempo_rimanente=280.0s | best_cost=17571.488
[progress][cuda] epoca=270 | epoche_rimanenti_prima_stop=380 | tempo_trascorso=20.7s | tempo_rimanente=279.3s | best_cost=17571.488
[progress][cuda] epoca=280 | epoche_rimanenti_prima_stop=370 | tempo_trascorso=21.5s | tempo_rimanente=278.5s | best_cost=17571.488
