[progress][seq] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=7810.830
[progress][seq] epoca=2 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=7636.674
[progress][seq] epoca=4 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=6855.998
[progress][seq] epoca=5 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=6441.868
[progress][seq] epoca=6 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=5844.137
[progress][seq] epoca=7 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=5706.030
[progress][seq] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=5653.579
[progress][seq] epoca=10 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=5653.579
[progress][seq] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=5639.133
[progress][seq] epoca=15 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=5635.039
[progress][seq] epoca=18 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=5607.029
[progress][seq] epoca=20 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=5607.029
[progress][seq] epoca=21 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=5590.451
[progress][seq] epoca=22 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=5447.658
[progress][seq] epoca=23 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.9s | tempo_rimanente=299.1s | best_cost=5220.975
[progress][seq] epoca=30 | epoche_rimanenti_prima_stop=493 | tempo_trascorso=1.2s | tempo_rimanente=298.8s | best_cost=5220.975
[progress][seq] epoca=40 | epoche_rimanenti_prima_stop=483 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=5220.975
[progress][seq] epoca=50 | epoche_rimanenti_prima_stop=473 | tempo_trascorso=1.9s | tempo_rimanente=298.1s | best_cost=5220.975
[progress][seq] epoca=60 | epoche_rimanenti_prima_stop=463 | tempo_trascorso=2.3s | tempo_rimanente=297.7s | best_cost=5220.975
