CUDA Solver starting... (N=4000, K=8, M=256)
[progress][cuda] epoca=280 | epoche_rimanenti_prima_stop=329 | tempo_trascorso=3.3s | tempo_rimanente=296.7s | best_cost=8253.436
[progress][cuda] epoca=290 | epoche_rimanenti_prima_stop=319 | tempo_trascorso=3.4s | tempo_rimanente=296.6s | best_cost=8253.436
[progress][cuda] epoca=300 | epoche_rimanenti_prima_stop=309 | tempo_trascorso=3.5s | tempo_rimanente=296.5s | best_cost=8253.436
[progress][cuda] epoca=305 | epoche_rimanenti_prima_stop=304 | tempo_trascorso=3.6s | tempo_rimanente=296.4s | best_cost=8251.592
[progress][cuda] epoca=310 | epoche_rimanenti_prima_stop=299 | tempo_trascorso=3.7s | tempo_rimanente=296.3s | best_cost=8251.592
[progress][cuda] epoca=320 | epoche_rimanenti_prima_stop=289 | tempo_trascorso=3.8s | tempo_rimanente=296.2s | best_cost=8251.592
[progress][cuda] epoca=330 | epoche_rimanenti_prima_stop=279 | tempo_trascorso=3.9s | tempo_rimanente=296.1s | best_cost=8251.592
[progress][cuda] epoca=340 | epoche_rimanenti_prima_stop=269 | tempo_trascorso=4.0s | tempo_rimanente=296.0s | best_cost=8251.592
[progress][cuda] epoca=350 | epoche_rimanenti_prima_stop=259 | tempo_trascorso=4.1s | tempo_rimanente=295.9s | best_cost=8251.592
[progress][cuda] epoca=360 | epoche_rimanenti_prima_stop=249 | tempo_trascorso=4.2s | tempo_rimanente=295.8s | best_cost=8251.592
[progress][cuda] epoca=370 | epoche_rimanenti_prima_stop=239 | tempo_trascorso=4.3s | tempo_rimanente=295.7s | best_cost=8251.592
[progress][cuda] epoca=380 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=4.4s | tempo_rimanente=295.6s | best_cost=8230.187
[progress][cuda] epoca=390 | epoche_rimanenti_prima_stop=490 | tempo_trascorso=4.6s | tempo_rimanente=295.4s | best_cost=8230.187
[progress][cuda] epoca=400 | epoche_rimanenti_prima_stop=480 | tempo_trascorso=4.7s | tempo_rimanente=295.3s | best_cost=8230.187
[progress][cuda] epoca=410 | epoche_rimanenti_prima_stop=470 | tempo_trascorso=4.8s | tempo_rimanente=295.2s | best_cost=8230.187
[progress][cuda] epoca=420 | epoche_rimanenti_prima_stop=460 | tempo_trascorso=4.9s | tempo_rimanente=295.1s | best_cost=8230.187
[progress][cuda] epoca=430 | epoche_rimanenti_prima_stop=450 | tempo_trascorso=5.0s | tempo_rimanente=295.0s | best_cost=8230.187
[progress][cuda] epoca=440 | epoche_rimanenti_prima_stop=440 | tempo_trascorso=5.1s | tempo_rimanente=294.9s | best_cost=8230.187
[progress][cuda] epoca=450 | epoche_rimanenti_prima_stop=430 | tempo_trascorso=5.2s | tempo_rimanente=294.8s | best_cost=8230.187
[progress][cuda] epoca=460 | epoche_rimanenti_prima_stop=420 | tempo_trascorso=5.3s | tempo_rimanente=294.7s | best_cost=8230.187
[progress][cuda] epoca=470 | epoche_rimanenti_prima_stop=410 | tempo_trascorso=5.5s | tempo_rimanente=294.5s | best_cost=8230.187
[progress][cuda] epoca=480 | epoche_rimanenti_prima_stop=400 | tempo_trascorso=5.6s | tempo_rimanente=294.4s | best_cost=8230.187
[progress][cuda] epoca=490 | epoche_rimanenti_prima_stop=390 | tempo_trascorso=5.7s | tempo_rimanente=294.3s | best_cost=8230.187
[progress][cuda] epoca=500 | epoche_rimanenti_prima_stop=380 | tempo_trascorso=5.8s | tempo_rimanente=294.2s | best_cost=8230.187
[progress][cuda] epoca=510 | epoche_rimanenti_prima_stop=370 | tempo_trascorso=5.9s | tempo_rimanente=294.1s | best_cost=8230.187
[progress][cuda] epoca=520 | epoche_rimanenti_prima_stop=360 | tempo_trascorso=6.0s | tempo_rimanente=294.0s | best_cost=8230.187
[progress][cuda] epoca=530 | epoche_rimanenti_prima_stop=350 | tempo_trascorso=6.1s | tempo_rimanente=293.9s | best_cost=8230.187
[progress][cuda] epoca=540 | epoche_rimanenti_prima_stop=340 | tempo_trascorso=6.2s | tempo_rimanente=293.8s | best_cost=8230.187
[progress][cuda] epoca=550 | epoche_rimanenti_prima_stop=330 | tempo_trascorso=6.4s | tempo_rimanente=293.6s | best_cost=8230.187
[progress][cuda] epoca=560 | epoche_rimanenti_prima_stop=320 | tempo_trascorso=6.5s | tempo_rimanente=293.5s | best_cost=8230.187
[progress][cuda] epoca=570 | epoche_rimanenti_prima_stop=310 | tempo_trascorso=6.6s | tempo_rimanente=293.4s | best_cost=8230.187
[progress][cuda] epoca=580 | epoche_rimanenti_prima_stop=300 | tempo_trascorso=6.7s | tempo_rimanente=293.3s | best_cost=8230.187
[progress][cuda] epoca=590 | epoche_rimanenti_prima_stop=290 | tempo_trascorso=6.8s | tempo_rimanente=293.2s | best_cost=8230.187
