CUDA Solver starting... (N=8000, K=8, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=14802.288
[progress][cuda] epoca=3 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=14649.521
[progress][cuda] epoca=7 | epoche_rimanenti_prima_stop=496 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=14648.320
[progress][cuda] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=14526.116
[progress][cuda] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=14352.243
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=14150.841
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=13626.648
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=13232.903
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=12922.230
[progress][cuda] epoca=15 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=12812.321
[progress][cuda] epoca=16 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=12809.266
[progress][cuda] epoca=17 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=12656.582
[progress][cuda] epoca=18 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=12505.992
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=12392.765
[progress][cuda] epoca=22 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.9s | tempo_rimanente=299.1s | best_cost=12339.360
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=492 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=12339.360
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=482 | tempo_trascorso=1.4s | tempo_rimanente=298.6s | best_cost=12339.360
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=472 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=12339.360
[progress][cuda] epoca=52 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.7s | tempo_rimanente=298.3s | best_cost=12254.658
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=492 | tempo_trascorso=1.9s | tempo_rimanente=298.1s | best_cost=12254.658
[progress][cuda] epoca=67 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=2.2s | tempo_rimanente=297.8s | best_cost=12187.610
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=497 | tempo_trascorso=2.3s | tempo_rimanente=297.7s | best_cost=12187.610
[progress][cuda] epoca=80 | epoche_rimanenti_prima_stop=487 | tempo_trascorso=2.5s | tempo_rimanente=297.5s | best_cost=12187.610
[progress][cuda] epoca=90 | epoche_rimanenti_prima_stop=477 | tempo_trascorso=2.8s | tempo_rimanente=297.2s | best_cost=12187.610
[progress][cuda] epoca=100 | epoche_rimanenti_prima_stop=467 | tempo_trascorso=3.1s | tempo_rimanente=296.9s | best_cost=12187.610
[progress][cuda] epoca=110 | epoche_rimanenti_prima_stop=457 | tempo_trascorso=3.4s | tempo_rimanente=296.6s | best_cost=12187.610
[progress][cuda] epoca=120 | epoche_rimanenti_prima_stop=447 | tempo_trascorso=3.7s | tempo_rimanente=296.3s | best_cost=12187.610
[progress][cuda] epoca=130 | epoche_rimanenti_prima_stop=437 | tempo_trascorso=4.0s | tempo_rimanente=296.0s | best_cost=12187.610
