CUDA Solver starting... (N=8000, K=8, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=14717.414
[progress][cuda] epoca=5 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=14586.349
[progress][cuda] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=14404.454
[progress][cuda] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=14138.986
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=13988.197
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=13686.552
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=13365.236
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=13193.037
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=12778.981
[progress][cuda] epoca=16 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=12706.260
[progress][cuda] epoca=17 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=12646.325
[progress][cuda] epoca=19 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=12532.599
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=12532.599
[progress][cuda] epoca=21 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=12452.577
[progress][cuda] epoca=24 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.9s | tempo_rimanente=299.1s | best_cost=12430.971
[progress][cuda] epoca=28 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.0s | tempo_rimanente=299.0s | best_cost=12379.352
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=12338.656
[progress][cuda] epoca=31 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=12199.265
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=491 | tempo_trascorso=1.4s | tempo_rimanente=298.6s | best_cost=12199.265
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=481 | tempo_trascorso=1.7s | tempo_rimanente=298.3s | best_cost=12199.265
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=471 | tempo_trascorso=2.0s | tempo_rimanente=298.0s | best_cost=12199.265
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=461 | tempo_trascorso=2.2s | tempo_rimanente=297.8s | best_cost=12199.265
[progress][cuda] epoca=80 | epoche_rimanenti_prima_stop=451 | tempo_trascorso=2.5s | tempo_rimanente=297.5s | best_cost=12199.265
[progress][cuda] epoca=90 | epoche_rimanenti_prima_stop=441 | tempo_trascorso=2.8s | tempo_rimanente=297.2s | best_cost=12199.265
[progress][cuda] epoca=100 | epoche_rimanenti_prima_stop=431 | tempo_trascorso=3.1s | tempo_rimanente=296.9s | best_cost=12199.265
[progress][cuda] epoca=110 | epoche_rimanenti_prima_stop=421 | tempo_trascorso=3.4s | tempo_rimanente=296.6s | best_cost=12199.265
[progress][cuda] epoca=120 | epoche_rimanenti_prima_stop=411 | tempo_trascorso=3.7s | tempo_rimanente=296.3s | best_cost=12199.265
[progress][cuda] epoca=130 | epoche_rimanenti_prima_stop=401 | tempo_trascorso=3.9s | tempo_rimanente=296.1s | best_cost=12199.265
[progress][cuda] epoca=140 | epoche_rimanenti_prima_stop=391 | tempo_trascorso=4.2s | tempo_rimanente=295.8s | best_cost=12199.265
[progress][cuda] epoca=150 | epoche_rimanenti_prima_stop=381 | tempo_trascorso=4.5s | tempo_rimanente=295.5s | best_cost=12199.265
[progress][cuda] epoca=160 | epoche_rimanenti_prima_stop=371 | tempo_trascorso=4.8s | tempo_rimanente=295.2s | best_cost=12199.265
[progress][cuda] epoca=170 | epoche_rimanenti_prima_stop=361 | tempo_trascorso=5.1s | tempo_rimanente=294.9s | best_cost=12199.265
[progress][cuda] epoca=180 | epoche_rimanenti_prima_stop=351 | tempo_trascorso=5.4s | tempo_rimanente=294.6s | best_cost=12199.265
[progress][cuda] epoca=190 | epoche_rimanenti_prima_stop=341 | tempo_trascorso=5.6s | tempo_rimanente=294.4s | best_cost=12199.265
[progress][cuda] epoca=200 | epoche_rimanenti_prima_stop=331 | tempo_trascorso=5.9s | tempo_rimanente=294.1s | best_cost=12199.265
[progress][cuda] epoca=210 | epoche_rimanenti_prima_stop=321 | tempo_trascorso=6.2s | tempo_rimanente=293.8s | best_cost=12199.265
[progress][cuda] epoca=220 | epoche_rimanenti_prima_stop=311 | tempo_trascorso=6.5s | tempo_rimanente=293.5s | best_cost=12199.265
[progress][cuda] epoca=222 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=6.6s | tempo_rimanente=293.4s | best_cost=12155.315
[progress][cuda] epoca=230 | epoche_rimanenti_prima_stop=492 | tempo_trascorso=6.8s | tempo_rimanente=293.2s | best_cost=12155.315
[progress][cuda] epoca=240 | epoche_rimanenti_prima_stop=482 | tempo_trascorso=7.1s | tempo_rimanente=292.9s | best_cost=12155.315
[progress][cuda] epoca=250 | epoche_rimanenti_prima_stop=472 | tempo_trascorso=7.4s | tempo_rimanente=292.6s | best_cost=12155.315
[progress][cuda] epoca=260 | epoche_rimanenti_prima_stop=462 | tempo_trascorso=7.7s | tempo_rimanente=292.3s | best_cost=12155.315
[progress][cuda] epoca=261 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=7.7s | tempo_rimanente=292.3s | best_cost=12112.724
[progress][cuda] epoca=270 | epoche_rimanenti_prima_stop=491 | tempo_trascorso=8.0s | tempo_rimanente=292.0s | best_cost=12112.724
[progress][cuda] epoca=280 | epoche_rimanenti_prima_stop=481 | tempo_trascorso=8.2s | tempo_rimanente=291.8s | best_cost=12112.724
[progress][cuda] epoca=290 | epoche_rimanenti_prima_stop=471 | tempo_trascorso=8.5s | tempo_rimanente=291.5s | best_cost=12112.724
[progress][cuda] epoca=300 | epoche_rimanenti_prima_stop=461 | tempo_trascorso=8.8s | tempo_rimanente=291.2s | best_cost=12112.724
[progress][cuda] epoca=310 | epoche_rimanenti_prima_stop=451 | tempo_trascorso=9.1s | tempo_rimanente=290.9s | best_cost=12112.724
[progress][cuda] epoca=320 | epoche_rimanenti_prima_stop=441 | tempo_trascorso=9.4s | tempo_rimanente=290.6s | best_cost=12112.724
[progress][cuda] epoca=330 | epoche_rimanenti_prima_stop=431 | tempo_trascorso=9.7s | tempo_rimanente=290.3s | best_cost=12112.724
