CUDA Solver starting... (N=500, K=8, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3805.941
[progress][cuda] epoca=2 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3793.649
[progress][cuda] epoca=3 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3659.563
[progress][cuda] epoca=5 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3654.875
[progress][cuda] epoca=6 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3536.564
[progress][cuda] epoca=7 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3462.570
[progress][cuda] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3347.543
[progress][cuda] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3214.229
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3112.641
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3017.900
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2944.623
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2927.013
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2882.384
[progress][cuda] epoca=15 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2790.692
[progress][cuda] epoca=17 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2780.505
[progress][cuda] epoca=18 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2688.449
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2688.449
[progress][cuda] epoca=21 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2684.652
[progress][cuda] epoca=22 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2658.648
[progress][cuda] epoca=23 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2656.749
[progress][cuda] epoca=24 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2650.041
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=494 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2650.041
[progress][cuda] epoca=33 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2623.316
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=493 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2623.316
[progress][cuda] epoca=43 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2589.965
[progress][cuda] epoca=47 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2577.831
[progress][cuda] epoca=49 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2535.827
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2509.476
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=490 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2509.476
