CUDA Solver starting... (N=500, K=8, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3708.544
[progress][cuda] epoca=4 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3621.462
[progress][cuda] epoca=6 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3561.751
[progress][cuda] epoca=7 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3505.478
[progress][cuda] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3195.162
[progress][cuda] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3159.337
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3104.099
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=3018.707
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2998.019
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2930.388
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2863.739
[progress][cuda] epoca=15 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2858.940
[progress][cuda] epoca=17 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2844.808
[progress][cuda] epoca=18 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2776.071
[progress][cuda] epoca=19 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2746.690
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=2746.690
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=489 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2746.690
[progress][cuda] epoca=32 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2740.810
[progress][cuda] epoca=33 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2737.867
[progress][cuda] epoca=34 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2735.629
[progress][cuda] epoca=39 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2721.409
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2622.541
[progress][cuda] epoca=48 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2597.301
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2597.301
[progress][cuda] epoca=51 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2594.500
[progress][cuda] epoca=52 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2581.208
[progress][cuda] epoca=53 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2569.821
[progress][cuda] epoca=54 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2540.302
[progress][cuda] epoca=56 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2521.995
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=496 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2521.995
[progress][cuda] epoca=61 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2510.046
[progress][cuda] epoca=64 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2487.448
[progress][cuda] epoca=66 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2469.525
[progress][cuda] epoca=68 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2463.763
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2458.402
[progress][cuda] epoca=71 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2448.902
[progress][cuda] epoca=72 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2448.902
[progress][cuda] epoca=73 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2448.901
[progress][cuda] epoca=74 | epoche_rimanenti_prima_stop=497 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2448.114
[progress][cuda] epoca=75 | epoche_rimanenti_prima_stop=496 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2448.114
[progress][cuda] epoca=76 | epoche_rimanenti_prima_stop=495 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2447.931
[progress][cuda] epoca=77 | epoche_rimanenti_prima_stop=494 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2447.930
[progress][cuda] epoca=79 | epoche_rimanenti_prima_stop=492 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2447.930
[progress][cuda] epoca=80 | epoche_rimanenti_prima_stop=491 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2447.930
[progress][cuda] epoca=82 | epoche_rimanenti_prima_stop=489 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2447.744
[progress][cuda] epoca=84 | epoche_rimanenti_prima_stop=487 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2447.743
[progress][cuda] epoca=85 | epoche_rimanenti_prima_stop=486 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2447.743
[progress][cuda] epoca=86 | epoche_rimanenti_prima_stop=485 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=2447.422
