CUDA Solver starting... (N=32000, K=32, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.2s | tempo_rimanente=298.8s | best_cost=26091.711
[progress][cuda] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=3.2s | tempo_rimanente=296.8s | best_cost=26037.613
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=3.6s | tempo_rimanente=296.4s | best_cost=26037.613
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=4.4s | tempo_rimanente=295.6s | best_cost=25837.863
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=4.9s | tempo_rimanente=295.1s | best_cost=25784.939
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=5.4s | tempo_rimanente=294.6s | best_cost=25306.506
[progress][cuda] epoca=15 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=5.9s | tempo_rimanente=294.1s | best_cost=25158.209
[progress][cuda] epoca=16 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=6.4s | tempo_rimanente=293.6s | best_cost=25150.207
[progress][cuda] epoca=18 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=7.2s | tempo_rimanente=292.8s | best_cost=24902.076
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=7.6s | tempo_rimanente=292.4s | best_cost=24902.076
[progress][cuda] epoca=29 | epoche_rimanenti_prima_stop=489 | tempo_trascorso=10.0s | tempo_rimanente=290.0s | best_cost=24882.180
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=488 | tempo_trascorso=10.3s | tempo_rimanente=289.7s | best_cost=24882.180
[progress][cuda] epoca=31 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=10.8s | tempo_rimanente=289.2s | best_cost=24645.549
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=491 | tempo_trascorso=12.8s | tempo_rimanente=287.2s | best_cost=24645.549
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=481 | tempo_trascorso=15.0s | tempo_rimanente=285.0s | best_cost=24645.549
[progress][cuda] epoca=53 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=16.2s | tempo_rimanente=283.8s | best_cost=24504.568
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=493 | tempo_trascorso=17.7s | tempo_rimanente=282.3s | best_cost=24504.568
[progress][cuda] epoca=61 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=18.3s | tempo_rimanente=281.7s | best_cost=24469.256
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=491 | tempo_trascorso=20.3s | tempo_rimanente=279.7s | best_cost=24469.256
