family,n,K,m,ranks,threads,workers,ants_per_worker,baseline_workers,samples,mean_s,median_s,min_s,max_s,std_s,cv_pct,cost_samples,mean_cost,std_cost,weak_efficiency,weak_efficiency_std
weak_mpi,8000,8,1024,1,32,32,32.000000,1,3,25.423333,25.100000,25.000000,26.170000,0.648563,2.551052,3,10360.109333,92.791064,1.158778,0.029803
weak_mpi,8000,8,2048,2,32,64,32.000000,1,3,22.053333,21.190000,21.010000,23.960000,1.653673,7.498516,2,9483.615000,30.179317,1.335852,0.100265
weak_mpi,8000,8,4096,4,32,128,32.000000,1,3,33.870000,33.130000,32.670000,35.810000,1.695759,5.006671,0,,,0.869796,0.043641
weak_openmp,8000,8,32,1,1,1,32.000000,1,3,29.460000,29.500000,29.350000,29.530000,0.096437,0.327347,3,10584.083000,93.327130,1.000000,0.000000
weak_openmp,8000,8,64,1,2,2,32.000000,1,3,30.430000,30.510000,29.910000,30.870000,0.484974,1.593737,3,10561.007000,58.312905,0.968124,0.015751
weak_openmp,8000,8,128,1,4,4,32.000000,1,3,27.103333,27.220000,26.850000,27.240000,0.219621,0.810310,3,10398.667000,34.885815,1.086951,0.009499
weak_openmp,8000,8,256,1,8,8,32.000000,1,3,26.710000,26.720000,26.580000,26.830000,0.125300,0.469111,3,10358.358667,195.418267,1.102958,0.006309
weak_openmp,8000,8,512,1,16,16,32.000000,1,3,25.493333,25.460000,25.230000,25.790000,0.281484,1.104148,3,10324.166000,207.975764,1.155596,0.013308
weak_openmp,8000,8,1024,1,32,32,32.000000,1,3,25.466667,25.390000,25.070000,25.940000,0.440038,1.727897,3,10360.109333,92.791064,1.156806,0.020344
