name,profile,instance_path,n,K,m,solver_seed,instance_seed,layout_id,run_id,status,elapsed_s,max_rss_gb,best_cost,error,mpi_ranks,omp_threads,batch_id
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,2048,1234,19004,grid100,1,ok,23.96,0.008057,9462.275,,2,32,weak_mpi_c64_r2_t32_m2048
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,2048,1235,19004,grid100,2,ok,21.19,0.008301,9504.955,,2,32,weak_mpi_c64_r2_t32_m2048
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,2048,1236,19004,grid100,3,ok,21.01,0.008545,9652.424,,2,32,weak_mpi_c64_r2_t32_m2048
