CUDA Solver starting... (N=1000, K=8, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=5313.107
[progress][cuda] epoca=2 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=5241.763
[progress][cuda] epoca=6 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=5126.967
[progress][cuda] epoca=7 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=5034.324
[progress][cuda] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=4882.702
[progress][cuda] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=4672.469
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=4614.333
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=4449.223
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=4325.760
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=4243.714
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=4172.859
[progress][cuda] epoca=19 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=4105.073
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=4105.073
[progress][cuda] epoca=26 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=4069.907
[progress][cuda] epoca=28 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=4015.591
[progress][cuda] epoca=29 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=3935.288
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=3935.288
[progress][cuda] epoca=33 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=3930.603
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=493 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=3930.603
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=483 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=3930.603
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=473 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=3930.603
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=463 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=3930.603
[progress][cuda] epoca=80 | epoche_rimanenti_prima_stop=453 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=3930.603
[progress][cuda] epoca=83 | epoche_rimanenti_prima_stop=450 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=3927.026
[progress][cuda] epoca=90 | epoche_rimanenti_prima_stop=443 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=3927.026
[progress][cuda] epoca=95 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=3919.006
[progress][cuda] epoca=100 | epoche_rimanenti_prima_stop=495 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=3919.006
[progress][cuda] epoca=110 | epoche_rimanenti_prima_stop=485 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=3919.006
[progress][cuda] epoca=120 | epoche_rimanenti_prima_stop=475 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=3919.006
[progress][cuda] epoca=130 | epoche_rimanenti_prima_stop=465 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=3919.006
[progress][cuda] epoca=140 | epoche_rimanenti_prima_stop=455 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=3919.006
[progress][cuda] epoca=150 | epoche_rimanenti_prima_stop=445 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=3919.006
[progress][cuda] epoca=160 | epoche_rimanenti_prima_stop=435 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=3919.006
[progress][cuda] epoca=170 | epoche_rimanenti_prima_stop=425 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=3919.006
[progress][cuda] epoca=175 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=3888.318
